iter	Logloss
0	0.6602347656
1	0.6315261475
2	0.6059338104
3	0.584355191
4	0.5657430145
5	0.5487920227
6	0.5326805969
7	0.5192429901
8	0.5069225006
9	0.4955239929
10	0.4867322021
11	0.4779134247
12	0.4702308258
13	0.4628714264
14	0.4568322357
15	0.4512346252
16	0.446615271
17	0.4423892792
18	0.4383552338
19	0.4348288025
20	0.4314141205
21	0.4281653656
22	0.4251109955
23	0.4227505142
24	0.4204913864
25	0.4184507507
26	0.4163114151
27	0.414536203
28	0.4131294601
29	0.4114087433
30	0.4099488007
31	0.4088215179
32	0.4077826752
33	0.4066554779
34	0.405782724
35	0.4049760696
36	0.4040452591
37	0.4034073807
38	0.402245816
39	0.4014139816
40	0.4002257294
41	0.3994914429
42	0.3986813812
43	0.3983427795
44	0.3978825806
45	0.3970263702
46	0.3963927094
47	0.3959148743
48	0.3952645279
49	0.3948194321
